	Direction in scanner	scanner1	scanner2	scanner3	scanner4	scanner5	scanner6
case1	x	1.351	1	1.303	0.621	0.999	0.973
	y	1.345	1	1.288	0.617	0.99	0.962
	z	0.776	1	0.759	0.741	1.243	1.508
case2	x	1.351	1.304	1.297	1.294	1.317	1.3
	y	1.345	1.3	1.284	1.297	1.302	1.287
	z	0.776	0.753	0.757	0.744	0.755	0.748
case3	x	1.293	0.993	1.293	0.621	0.993	0.97
	y	1.283	0.986	1.283	0.616	0.986	0.962
	z	0.743	0.991	0.743	0.743	1.238	1.486
