	Direction in scanner	scanner1	scanner2	scanner3	scanner4	scanner5	scanner6
case1	x	4.47265625	0.7078125	0.78125	0.09765625	0.631640625	0.390625
	y	4.822485207	1.470059172	0.384615385	0.221893491	0.43	1.05055E-14
	z	4.47265625	0.937109375	2.1875	-0.268359375	0.402734375	1.484375
case2	x	4.47265625	0.83984375	0.3125	0.078125	1.8359375	0.546875
	y	4.822485207	1.272189349	0.029585799	1.094674556	1.449704142	0.295857988
	z	4.47265625	1.3671875	1.8359375	0.13671875	1.66015625	0.72265625
case3	x	0	0	0	0	0	0
	y	0	0	0	0	0	0
	z	0	0	0	0	0	0
